Date,target,prediction
2016-09-19,28.395000457763672,28.67895046234131
2016-09-20,28.39249992370605,28.676424922943113
2016-09-21,28.387500762939453,28.671375770568847
2016-09-22,28.655000686645508,28.941550693511964
2016-09-23,28.177499771118164,28.459274768829346
2016-09-26,28.21999931335449,28.502199306488034
2016-09-27,28.272499084472656,28.555224075317383
2016-09-28,28.487499237060547,28.772374229431154
2016-09-29,28.045000076293945,28.325450077056885
2016-09-30,28.262500762939453,28.54512577056885
2016-10-03,28.1299991607666,28.41129915237427
2016-10-04,28.25,28.5325
2016-10-05,28.262500762939453,28.54512577056885
2016-10-06,28.47249984741211,28.75722484588623
2016-10-07,28.51499938964844,28.800149383544927
2016-10-10,29.012500762939453,29.30262577056885
2016-10-11,29.075000762939453,29.365750770568848
